0
ELAPSED: 93.84435153007507
wrote to ../../heightmaps/mp_eroded_50000_heightmap1.png
         34583490 function calls (34518688 primitive calls) in 97.285 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1484    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
    10732    0.002    0.000    0.003    0.000 mathtext.py:2847(<genexpr>)
     3831    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     7285    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      411    0.001    0.000    0.041    0.000 has_traits.py:3261(_init_trait_delegate_listener)
    13060    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    16017    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     4902    0.001    0.000    0.028    0.000 trait_notifiers.py:466(__call__)
     1484    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
      671    0.001    0.000    0.011    0.000 trait_list_object.py:585(notifier)
     3948    0.001    0.000    0.001    0.000 traits_listener.py:984(_get_next)
    22202    0.001    0.000    0.001    0.000 {method '_get_property' of 'traits.ctraits.cTrait' objects}
     4734    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1834    0.001    0.000    0.018    0.000 __init__.py:2079(dist_factory)
     2934    0.001    0.000    0.002    0.000 weakiddict.py:63(__contains__)
     3913    0.001    0.000    0.001    0.000 pyparsing.py:209(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _pickle.load}
     7728    0.001    0.000    0.002    0.000 has_traits.py:311(_property_method)
       12    0.001    0.000    0.020    0.002 artist.py:1337(get_setters)
     2820    0.001    0.000    0.002    0.000 version.py:114(_parse_version_parts)
     3853    0.001    0.000    0.006    0.000 trait_notifiers.py:409(__init__)
     1167    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1166    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      616    0.001    0.000    0.063    0.000 __init__.py:2137(distributions_from_metadata)
       37    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
     1511    0.001    0.000    0.002    0.000 trait_list_object.py:849(_item_validator)
     1610    0.001    0.000    0.004    0.000 ntpath.py:67(isabs)
2364/2363    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2132    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:403(cached)
      350    0.001    0.000    0.009    0.000 trait_converters.py:137(mapped_trait_for)
